Application ID,Application Date,Channel, Amount Requested ,Risk Class,Decision,Decision Code,Outcome, Revenue/ (Loss) 
100050,12/3/2010,Store, $500 ,B,Approve,S,Good = Pay, $50 
100051,12/3/2010,Online, $500 ,N,Decline,D,n/a, $-   
100052,12/3/2010,Online, $300 ,J,Decline,D,n/a, $-   
100053,12/3/2010,Online, $200 ,B,Approve,U,Bad = Default, $(200)
100054,12/3/2010,Online, $500 ,N,Decline,D,n/a, $-   
100055,12/3/2010,Store, $500 ,N,Decline,D,n/a, $-   
100056,12/3/2010,Store, $500 ,B,Approve,S,Good = Pay, $50 
100057,12/6/2010,Store, $200 ,B,Approve,U,Good = Pay, $20 
100058,12/6/2010,Online, $500 ,B,Decline,D,n/a, $-   
100059,12/6/2010,Store, $300 ,B,Approve,U,Good = Pay, $30 
100060,12/6/2010,Store, $200 ,N,Approve,S,Good = Pay, $20 
100061,12/6/2010,Online, $500 ,B,Decline,D,n/a, $-   
100062,12/6/2010,Online, $500 ,J,Decline,D,n/a, $-   
100063,12/6/2010,Online, $500 ,B,Decline,D,n/a, $-   
100064,12/6/2010,Online, $200 ,N,Decline,D,n/a, $-   
100065,12/6/2010,Online, $500 ,B,Decline,D,n/a, $-   
100066,12/6/2010,Online, $500 ,B,Decline,D,n/a, $-   
100067,12/6/2010,Store, $200 ,B,Approve,U,Good = Pay, $20 
100068,12/6/2010,Store, $500 ,J,Decline,D,n/a, $-   
100069,12/6/2010,Online, $500 ,N,Decline,D,n/a, $-   
100070,12/6/2010,Online, $500 ,B,Decline,D,n/a, $-   
100071,12/6/2010,Store, $200 ,N,Approve,S,Good = Pay, $20 
100072,12/6/2010,Online, $500 ,N,Decline,D,n/a, $-   
100073,12/6/2010,Store, $500 ,B,Approve,S,Good = Pay, $50 
100074,12/6/2010,Store, $500 ,B,Approve,S,Bad = Default, $(400)
100075,12/6/2010,Online, $300 ,B,Approve,U,Good = Pay, $30 
100076,12/6/2010,Online, $200 ,N,Decline,D,n/a, $-   
100077,12/6/2010,Store, $500 ,J,Decline,D,n/a, $-   
100078,12/6/2010,Store, $500 ,B,Approve,S,Good = Pay, $50 
100079,12/6/2010,Store, $500 ,B,Approve,S,Good = Pay, $50 
100080,12/6/2010,Store, $500 ,N,Decline,D,n/a, $-   
100081,12/6/2010,Online, $500 ,N,Decline,D,n/a, $-   
100082,12/6/2010,Store, $200 ,B,Approve,U,Good = Pay, $20 
100083,12/6/2010,Online, $500 ,B,Decline,D,n/a, $-   
100084,12/6/2010,Store, $300 ,B,Approve,U,Bad = Default, $(300)
100085,12/6/2010,Store, $200 ,N,Approve,S,Good = Pay, $20 
100086,12/6/2010,Online, $500 ,B,Decline,D,n/a, $-   
100087,12/6/2010,Online, $500 ,J,Decline,D,n/a, $-   
100088,12/6/2010,Online, $500 ,B,Decline,D,n/a, $-   
100089,12/6/2010,Online, $200 ,N,Decline,D,n/a, $-   
100090,12/6/2010,Online, $500 ,B,Decline,D,n/a, $-   
100091,12/6/2010,Online, $500 ,B,Decline,D,n/a, $-   
100092,12/6/2010,Store, $200 ,B,Approve,U,Good = Pay, $20 
100093,12/6/2010,Store, $200 ,N,Approve,S,Good = Pay, $20 
100094,12/6/2010,Store, $500 ,J,Decline,D,n/a, $-   
100095,12/6/2010,Online, $500 ,N,Decline,D,n/a, $-   
100096,12/6/2010,Online, $500 ,B,Decline,D,n/a, $-   
100097,12/6/2010,Store, $200 ,N,Approve,S,Good = Pay, $20 
100098,12/6/2010,Online, $500 ,N,Decline,D,n/a, $-   
100099,12/6/2010,Store, $500 ,B,Approve,S,Good = Pay, $50 
100100,12/6/2010,Store, $500 ,B,Approve,S,Good = Pay, $50 
100101,12/6/2010,Online, $200 ,B,Approve,U,Bad = Default, $(200)
100102,12/6/2010,Online, $500 ,B,Decline,D,n/a, $-   
100103,12/6/2010,Store, $300 ,B,Approve,U,Good = Pay, $30 
100104,12/6/2010,Store, $200 ,B,Approve,U,Good = Pay, $20 
100105,12/6/2010,Online, $500 ,N,Decline,D,n/a, $-   
100106,12/6/2010,Online, $500 ,J,Decline,D,n/a, $-   
100107,12/6/2010,Online, $500 ,B,Decline,D,n/a, $-   
100108,12/6/2010,Online, $300 ,B,Approve,U,Good = Pay, $30 
100109,12/6/2010,Online, $200 ,N,Decline,D,n/a, $-   
100110,12/6/2010,Store, $500 ,J,Decline,D,n/a, $-   
100111,12/6/2010,Store, $500 ,B,Approve,S,Bad = Default, $(400)
100112,12/6/2010,Store, $500 ,B,Approve,S,Bad = Default, $(400)
100113,12/6/2010,Store, $500 ,N,Decline,D,n/a, $-   
100114,12/6/2010,Online, $500 ,N,Decline,D,n/a, $-   
100115,12/6/2010,Store, $200 ,B,Approve,U,Bad = Default, $(200)
100116,12/6/2010,Online, $500 ,B,Decline,D,n/a, $-   
100117,12/6/2010,Store, $300 ,B,Approve,U,Bad = Default, $(300)
100118,12/6/2010,Store, $200 ,N,Approve,S,Good = Pay, $20 
100119,12/6/2010,Online, $500 ,B,Decline,D,n/a, $-   
100120,12/6/2010,Online, $500 ,J,Decline,D,n/a, $-   
100121,12/6/2010,Online, $500 ,B,Decline,D,n/a, $-   
100122,12/6/2010,Online, $200 ,N,Decline,D,n/a, $-   
100123,12/6/2010,Online, $500 ,B,Decline,D,n/a, $-   
100124,12/6/2010,Online, $500 ,B,Decline,D,n/a, $-   
100125,12/6/2010,Store, $200 ,B,Approve,U,Good = Pay, $20 
100126,12/6/2010,Store, $200 ,N,Approve,S,Good = Pay, $20 
100127,12/6/2010,Store, $500 ,J,Decline,D,n/a, $-   
100128,12/6/2010,Online, $500 ,N,Decline,D,n/a, $-   
100129,12/6/2010,Online, $500 ,B,Decline,D,n/a, $-   
100130,12/6/2010,Store, $200 ,N,Approve,S,Good = Pay, $20 
100131,12/6/2010,Online, $500 ,N,Decline,D,n/a, $-   
100132,12/6/2010,Store, $500 ,B,Approve,S,Good = Pay, $50 
100133,12/6/2010,Store, $500 ,B,Approve,S,Bad = Default, $(400)
100134,12/6/2010,Online, $200 ,B,Approve,U,Good = Pay, $20 
100135,12/6/2010,Online, $500 ,B,Decline,D,n/a, $-   
100136,12/6/2010,Store, $300 ,B,Approve,U,Good = Pay, $30 
100137,12/6/2010,Store, $200 ,B,Approve,U,Good = Pay, $20 
100138,12/6/2010,Online, $500 ,N,Decline,D,n/a, $-   
100139,12/6/2010,Online, $500 ,J,Decline,D,n/a, $-   
100140,12/6/2010,Online, $500 ,B,Decline,D,n/a, $-   
100141,12/6/2010,Online, $300 ,B,Approve,U,Good = Pay, $30 
100142,12/6/2010,Online, $200 ,N,Decline,D,n/a, $-   
100143,12/6/2010,Store, $500 ,J,Decline,D,n/a, $-   
100144,12/6/2010,Store, $500 ,B,Approve,S,Good = Pay, $50 
100145,12/6/2010,Store, $500 ,B,Approve,S,Good = Pay, $50 
100146,12/6/2010,Store, $500 ,N,Decline,D,n/a, $-   
100147,12/6/2010,Online, $500 ,N,Decline,D,n/a, $-   
100148,12/6/2010,Store, $200 ,B,Approve,U,Good = Pay, $20 
100149,12/6/2010,Online, $500 ,B,Decline,D,n/a, $-   
100150,12/6/2010,Store, $300 ,B,Approve,U,Good = Pay, $30 
100151,12/6/2010,Store, $200 ,N,Approve,S,Good = Pay, $20 
100152,12/6/2010,Online, $500 ,B,Decline,D,n/a, $-   
100153,12/6/2010,Online, $500 ,J,Decline,D,n/a, $-   
100154,12/6/2010,Online, $500 ,B,Decline,D,n/a, $-   
100155,12/6/2010,Online, $200 ,N,Decline,D,n/a, $-   
100156,12/6/2010,Online, $500 ,B,Decline,D,n/a, $-   
100157,12/6/2010,Online, $500 ,B,Decline,D,n/a, $-   
100158,12/6/2010,Store, $200 ,B,Approve,U,Good = Pay, $20 
100159,12/6/2010,Store, $500 ,J,Decline,D,n/a, $-   
100160,12/6/2010,Online, $500 ,N,Decline,D,n/a, $-   
100161,12/6/2010,Online, $500 ,B,Decline,D,n/a, $-   
100162,12/6/2010,Store, $200 ,N,Approve,S,Good = Pay, $20 
100163,12/6/2010,Online, $500 ,N,Decline,D,n/a, $-   
100164,12/6/2010,Store, $500 ,B,Approve,S,Good = Pay, $50 
100165,12/6/2010,Store, $500 ,B,Approve,S,Good = Pay, $50 
100166,12/7/2010,Store, $500 ,J,Decline,D,n/a, $-   
100167,12/7/2010,Online, $300 ,B,Approve,U,Good = Pay, $30 
100168,12/7/2010,Online, $200 ,B,Approve,U,Good = Pay, $20 
100169,12/7/2010,Online, $500 ,B,Decline,D,n/a, $-   
100170,12/7/2010,Online, $500 ,B,Decline,D,n/a, $-   
100171,12/7/2010,Online, $500 ,J,Decline,D,n/a, $-   
100172,12/7/2010,Online, $200 ,B,Approve,U,Good = Pay, $20 
100173,12/7/2010,Online, $500 ,B,Decline,D,n/a, $-   
100174,12/7/2010,Online, $300 ,N,Decline,D,n/a, $-   
100175,12/7/2010,Online, $200 ,J,Approve,S,Good = Pay, $20 
100176,12/7/2010,Store, $500 ,N,Decline,D,n/a, $-   
100177,12/7/2010,Online, $200 ,B,Approve,U,Good = Pay, $20 
100178,12/7/2010,Store, $500 ,B,Approve,S,Good = Pay, $50 
100179,12/7/2010,Online, $500 ,N,Decline,D,n/a, $-   
100180,12/7/2010,Online, $500 ,J,Decline,D,n/a, $-   
100181,12/7/2010,Online, $200 ,B,Approve,U,Good = Pay, $20 
100182,12/7/2010,Store, $500 ,N,Decline,D,n/a, $-   
100183,12/7/2010,Store, $500 ,N,Decline,D,n/a, $-   
100184,12/7/2010,Store, $200 ,B,Approve,U,Good = Pay, $20 
100185,12/7/2010,Online, $300 ,J,Decline,D,n/a, $-   
100186,12/7/2010,Online, $200 ,B,Approve,U,Good = Pay, $20 
100187,12/7/2010,Online, $500 ,B,Decline,D,n/a, $-   
100188,12/7/2010,Store, $500 ,N,Decline,D,n/a, $-   
100189,12/7/2010,Online, $200 ,N,Decline,D,n/a, $-   
100190,12/7/2010,Store, $500 ,B,Approve,S,Good = Pay, $50 
100191,12/7/2010,Store, $300 ,B,Approve,U,Good = Pay, $30 
100192,12/7/2010,Online, $200 ,B,Approve,U,Good = Pay, $20 
100193,12/7/2010,Online, $500 ,B,Decline,D,n/a, $-   
100194,12/7/2010,Online, $500 ,N,Decline,D,n/a, $-   
100195,12/7/2010,Online, $500 ,B,Decline,D,n/a, $-   
100196,12/7/2010,Online, $200 ,J,Approve,S,Good = Pay, $20 
100197,12/7/2010,Store, $500 ,B,Approve,S,Good = Pay, $50 
100198,12/7/2010,Store, $200 ,B,Approve,U,Good = Pay, $20 
100199,12/7/2010,Online, $500 ,B,Decline,D,n/a, $-   
100200,12/7/2010,Online, $500 ,N,Decline,D,n/a, $-   
100201,12/7/2010,Store, $500 ,J,Decline,D,n/a, $-   
100202,12/7/2010,Store, $200 ,N,Approve,S,Good = Pay, $20 
100203,12/7/2010,Store, $500 ,J,Decline,D,n/a, $-   
100204,12/7/2010,Online, $300 ,J,Decline,D,n/a, $-   
100205,12/7/2010,Store, $500 ,B,Approve,S,Good = Pay, $50 
100206,12/7/2010,Store, $500 ,J,Decline,D,n/a, $-   
100207,12/7/2010,Store, $500 ,B,Approve,S,Good = Pay, $50 
100208,12/7/2010,Online, $200 ,N,Decline,D,n/a, $-   
100209,12/7/2010,Store, $500 ,J,Decline,D,n/a, $-   
100210,12/7/2010,Online, $200 ,N,Decline,D,n/a, $-   
100211,12/7/2010,Online, $500 ,B,Decline,D,n/a, $-   
100212,12/7/2010,Online, $500 ,B,Decline,D,n/a, $-   
100213,12/7/2010,Online, $300 ,B,Approve,U,Good = Pay, $30 
100214,12/7/2010,Online, $200 ,J,Approve,S,Good = Pay, $20 
100215,12/7/2010,Online, $500 ,B,Decline,D,n/a, $-   
100216,12/7/2010,Online, $500 ,B,Decline,D,n/a, $-   
100217,12/7/2010,Online, $500 ,N,Decline,D,n/a, $-   
100218,12/7/2010,Online, $200 ,J,Approve,S,Good = Pay, $20 
100219,12/7/2010,Store, $500 ,B,Approve,S,Good = Pay, $50 
100220,12/7/2010,Online, $300 ,B,Approve,U,Good = Pay, $30 
100221,12/7/2010,Store, $200 ,N,Approve,S,Good = Pay, $20 
100222,12/7/2010,Online, $200 ,B,Approve,U,Good = Pay, $20 
100223,12/7/2010,Store, $500 ,B,Approve,S,Good = Pay, $50 
100224,12/7/2010,Online, $500 ,N,Decline,D,n/a, $-   
100225,12/7/2010,Store, $300 ,B,Approve,U,Good = Pay, $30 
100226,12/7/2010,Online, $500 ,B,Decline,D,n/a, $-   
100227,12/7/2010,Online, $200 ,N,Decline,D,n/a, $-   
100228,12/7/2010,Store, $200 ,B,Approve,U,Good = Pay, $20 
100229,12/7/2010,Store, $500 ,B,Approve,S,Good = Pay, $50 
100230,12/7/2010,Store, $500 ,B,Approve,S,Good = Pay, $50 
100231,12/7/2010,Online, $300 ,N,Decline,D,n/a, $-   
100232,12/7/2010,Online, $200 ,N,Decline,D,n/a, $-   
100233,12/7/2010,Online, $500 ,B,Decline,D,n/a, $-   
100234,12/8/2010,Store, $500 ,N,Decline,D,n/a, $-   
100235,12/8/2010,Store, $300 ,B,Approve,U,Good = Pay, $30 
100236,12/8/2010,Online, $200 ,J,Approve,S,Good = Pay, $20 
100237,12/8/2010,Online, $500 ,B,Decline,D,n/a, $-   
100238,12/8/2010,Online, $300 ,N,Decline,D,n/a, $-   
100239,12/8/2010,Online, $200 ,J,Approve,S,Good = Pay, $20 
100240,12/8/2010,Online, $500 ,B,Decline,D,n/a, $-   
100241,12/8/2010,Online, $500 ,B,Decline,D,n/a, $-   
100242,12/8/2010,Online, $500 ,B,Decline,D,n/a, $-   
100243,12/8/2010,Online, $200 ,B,Approve,U,Good = Pay, $20 
100244,12/8/2010,Online, $500 ,J,Decline,D,n/a, $-   
100245,12/8/2010,Online, $300 ,B,Approve,U,Good = Pay, $30 
100246,12/8/2010,Store, $500 ,B,Approve,S,Good = Pay, $50 
100247,12/8/2010,Store, $500 ,N,Decline,D,n/a, $-   
100248,12/8/2010,Store, $200 ,B,Approve,U,Good = Pay, $20 
100249,12/8/2010,Store, $500 ,J,Decline,D,n/a, $-   
100250,12/8/2010,Online, $300 ,B,Approve,U,Good = Pay, $30 
100251,12/8/2010,Online, $200 ,N,Decline,D,n/a, $-   
100252,12/8/2010,Online, $500 ,J,Decline,D,n/a, $-   
100253,12/8/2010,Online, $300 ,N,Decline,D,n/a, $-   
100254,12/8/2010,Online, $200 ,B,Approve,U,Good = Pay, $20 
100255,12/8/2010,Online, $500 ,N,Decline,D,n/a, $-   
100256,12/8/2010,Online, $500 ,J,Decline,D,n/a, $-   
100257,12/8/2010,Online, $500 ,B,Decline,D,n/a, $-   
100258,12/8/2010,Online, $200 ,B,Approve,U,Good = Pay, $20 
100259,12/8/2010,Online, $500 ,B,Decline,D,n/a, $-   
100260,12/8/2010,Store, $500 ,B,Approve,S,Good = Pay, $50 
100261,12/8/2010,Store, $200 ,J,Approve,U,Good = Pay, $20 
100262,12/8/2010,Store, $200 ,N,Approve,S,Good = Pay, $20 
100263,12/8/2010,Online, $300 ,N,Decline,D,n/a, $-   
100264,12/8/2010,Store, $500 ,J,Decline,D,n/a, $-   
100265,12/8/2010,Online, $200 ,B,Approve,U,Bad = Default, $(200)
100266,12/8/2010,Store, $500 ,B,Approve,S,Good = Pay, $50 
100267,12/8/2010,Store, $200 ,B,Approve,U,Good = Pay, $20 
100268,12/8/2010,Store, $200 ,B,Approve,U,Good = Pay, $20 
100269,12/8/2010,Store, $500 ,J,Decline,D,n/a, $-   
100270,12/8/2010,Online, $300 ,N,Decline,D,n/a, $-   
100271,12/8/2010,Online, $500 ,B,Decline,D,n/a, $-   
100272,12/8/2010,Online, $500 ,J,Decline,D,n/a, $-   
100273,12/8/2010,Store, $500 ,J,Decline,D,n/a, $-   
100274,12/8/2010,Online, $500 ,B,Decline,D,n/a, $-   
100275,12/8/2010,Store, $500 ,N,Decline,D,n/a, $-   
100276,12/8/2010,Online, $500 ,B,Decline,D,n/a, $-   
100277,12/8/2010,Store, $200 ,J,Approve,U,Good = Pay, $20 
100278,12/8/2010,Store, $500 ,N,Decline,D,n/a, $-   
100279,12/8/2010,Store, $200 ,B,Approve,U,Good = Pay, $20 
100280,12/8/2010,Online, $500 ,B,Decline,D,n/a, $-   
100281,12/8/2010,Online, $500 ,N,Decline,D,n/a, $-   
100282,12/8/2010,Store, $300 ,B,Approve,U,Good = Pay, $30 
100283,12/8/2010,Online, $200 ,N,Decline,D,n/a, $-   
100284,12/8/2010,Store, $300 ,B,Approve,U,Good = Pay, $30 
100285,12/8/2010,Online, $500 ,J,Decline,D,n/a, $-   
100286,12/8/2010,Store, $500 ,N,Decline,D,n/a, $-   
100287,12/8/2010,Online, $500 ,N,Decline,D,n/a, $-   
100288,12/8/2010,Store, $200 ,B,Approve,U,Good = Pay, $20 
100289,12/8/2010,Online, $500 ,B,Decline,D,n/a, $-   
100290,12/8/2010,Online, $500 ,B,Decline,D,n/a, $-   
100291,12/8/2010,Online, $200 ,B,Approve,U,Good = Pay, $20 
100292,12/8/2010,Online, $500 ,B,Decline,D,n/a, $-   
100293,12/9/2010,Store, $500 ,B,Approve,S,Good = Pay, $50 
100294,12/9/2010,Store, $500 ,B,Approve,S,Good = Pay, $50 
100295,12/9/2010,Online, $500 ,N,Decline,D,n/a, $-   
100296,12/9/2010,Store, $500 ,B,Approve,S,Good = Pay, $50 
100297,12/9/2010,Online, $200 ,N,Decline,D,n/a, $-   
100298,12/9/2010,Online, $500 ,B,Decline,D,n/a, $-   
100299,12/9/2010,Online, $500 ,J,Decline,D,n/a, $-   
100300,12/9/2010,Online, $500 ,N,Decline,D,n/a, $-   
100301,12/9/2010,Online, $200 ,B,Approve,U,Good = Pay, $20 
100302,12/9/2010,Online, $500 ,B,Decline,D,n/a, $-   
100303,12/9/2010,Online, $300 ,B,Approve,U,Good = Pay, $30 
100304,12/9/2010,Online, $200 ,B,Approve,U,Good = Pay, $20 
100305,12/9/2010,Online, $500 ,B,Decline,D,n/a, $-   
100306,12/9/2010,Store, $200 ,B,Approve,U,Good = Pay, $20 
100307,12/9/2010,Store, $500 ,B,Approve,S,Good = Pay, $50 
100308,12/9/2010,Store, $300 ,J,Approve,U,Good = Pay, $30 
100309,12/9/2010,Online, $200 ,B,Approve,U,Good = Pay, $20 
100310,12/9/2010,Online, $500 ,B,Decline,D,n/a, $-   
100311,12/9/2010,Store, $500 ,B,Approve,S,Good = Pay, $50 
100312,12/9/2010,Online, $500 ,B,Decline,D,n/a, $-   
100313,12/9/2010,Online, $500 ,B,Decline,D,n/a, $-   
100314,12/9/2010,Online, $200 ,B,Approve,U,Good = Pay, $20 
100315,12/9/2010,Online, $500 ,N,Decline,D,n/a, $-   
100316,12/9/2010,Online, $300 ,B,Approve,U,Good = Pay, $30 
100317,12/9/2010,Online, $200 ,J,Approve,S,Good = Pay, $20 
100318,12/9/2010,Online, $500 ,B,Decline,D,n/a, $-   
100319,12/9/2010,Online, $500 ,N,Decline,D,n/a, $-   
100320,12/9/2010,Online, $500 ,B,Decline,D,n/a, $-   
100321,12/9/2010,Online, $200 ,J,Approve,S,Good = Pay, $20 
100322,12/9/2010,Online, $500 ,N,Decline,D,n/a, $-   
100323,12/9/2010,Online, $300 ,B,Approve,U,Good = Pay, $30 
100324,12/9/2010,Online, $200 ,B,Approve,U,Good = Pay, $20 
100325,12/9/2010,Store, $500 ,B,Approve,S,Good = Pay, $50 
100326,12/9/2010,Store, $200 ,B,Approve,U,Good = Pay, $20 
100327,12/9/2010,Online, $500 ,B,Decline,D,n/a, $-   
100328,12/9/2010,Store, $200 ,B,Approve,U,Good = Pay, $20 
100329,12/9/2010,Store, $200 ,B,Approve,U,Good = Pay, $20 
100330,12/9/2010,Online, $500 ,B,Decline,D,n/a, $-   
100331,12/9/2010,Store, $200 ,N,Approve,S,Good = Pay, $20 
100332,12/9/2010,Online, $500 ,N,Decline,D,n/a, $-   
100333,12/9/2010,Store, $500 ,B,Approve,S,Good = Pay, $50 
100334,12/9/2010,Store, $500 ,B,Approve,S,Good = Pay, $50 
100335,12/9/2010,Store, $500 ,B,Approve,S,Good = Pay, $50 
100336,12/9/2010,Online, $500 ,J,Decline,D,n/a, $-   
100337,12/9/2010,Store, $200 ,B,Approve,U,Good = Pay, $20 
100338,12/9/2010,Online, $300 ,J,Decline,D,n/a, $-   
100339,12/9/2010,Store, $500 ,B,Approve,S,Good = Pay, $50 
100340,12/9/2010,Online, $500 ,B,Decline,D,n/a, $-   
100341,12/9/2010,Online, $300 ,B,Approve,U,Good = Pay, $30 
100342,12/9/2010,Online, $500 ,N,Decline,D,n/a, $-   
100343,12/9/2010,Online, $500 ,B,Decline,D,n/a, $-   
100344,12/10/2010,Store, $200 ,B,Approve,U,Good = Pay, $20 
100345,12/10/2010,Online, $500 ,B,Decline,D,n/a, $-   
100346,12/10/2010,Store, $300 ,J,Approve,U,Good = Pay, $30 
100347,12/10/2010,Store, $200 ,B,Approve,U,Good = Pay, $20 
100348,12/10/2010,Store, $200 ,B,Approve,U,Good = Pay, $20 
100349,12/10/2010,Online, $500 ,N,Decline,D,n/a, $-   
100350,12/10/2010,Online, $500 ,N,Decline,D,n/a, $-   
100351,12/10/2010,Online, $500 ,J,Decline,D,n/a, $-   
100352,12/10/2010,Online, $200 ,B,Approve,U,Good = Pay, $20 
100353,12/10/2010,Online, $500 ,N,Decline,D,n/a, $-   
100354,12/10/2010,Online, $300 ,N,Decline,D,n/a, $-   
100355,12/10/2010,Online, $200 ,B,Approve,U,Good = Pay, $20 
100356,12/10/2010,Online, $500 ,B,Decline,D,n/a, $-   
100357,12/10/2010,Online, $500 ,B,Decline,D,n/a, $-   
100358,12/10/2010,Online, $500 ,B,Decline,D,n/a, $-   
100359,12/10/2010,Store, $300 ,B,Approve,U,Good = Pay, $30 
100360,12/10/2010,Store, $200 ,B,Approve,U,Good = Pay, $20 
100361,12/10/2010,Online, $500 ,B,Decline,D,n/a, $-   
100362,12/10/2010,Online, $500 ,B,Decline,D,n/a, $-   
100363,12/10/2010,Online, $500 ,B,Decline,D,n/a, $-   
100364,12/10/2010,Store, $500 ,N,Decline,D,n/a, $-   
100365,12/10/2010,Store, $500 ,B,Approve,S,Bad = Default, $(400)
100366,12/10/2010,Online, $500 ,J,Decline,D,n/a, $-   
100367,12/10/2010,Online, $200 ,B,Approve,U,Good = Pay, $20 
100368,12/10/2010,Online, $500 ,B,Decline,D,n/a, $-   
100369,12/10/2010,Online, $300 ,B,Approve,U,Good = Pay, $30 
100370,12/10/2010,Online, $200 ,B,Approve,U,Good = Pay, $20 
100371,12/10/2010,Store, $300 ,N,Decline,D,n/a, $-   
100372,12/10/2010,Online, $200 ,B,Approve,U,Good = Pay, $20 
100373,12/10/2010,Store, $500 ,B,Approve,S,Good = Pay, $50 
100374,12/10/2010,Online, $500 ,B,Decline,D,n/a, $-   
100375,12/10/2010,Store, $500 ,B,Approve,S,Good = Pay, $50 
100376,12/10/2010,Online, $200 ,N,Decline,D,n/a, $-   
100377,12/10/2010,Online, $500 ,B,Decline,D,n/a, $-   
100378,12/10/2010,Online, $500 ,J,Decline,D,n/a, $-   
100379,12/10/2010,Online, $300 ,B,Approve,U,Good = Pay, $30 
100380,12/10/2010,Online, $500 ,J,Decline,D,n/a, $-   
100381,12/10/2010,Store, $500 ,B,Approve,S,Good = Pay, $50 
100382,12/10/2010,Online, $500 ,B,Decline,D,n/a, $-   
100383,12/10/2010,Store, $500 ,B,Approve,S,Good = Pay, $50 
100384,12/10/2010,Store, $500 ,N,Decline,D,n/a, $-   
100385,12/10/2010,Online, $200 ,J,Approve,S,Good = Pay, $20 
100386,12/10/2010,Online, $500 ,N,Decline,D,n/a, $-   
100387,12/10/2010,Online, $300 ,B,Approve,U,Good = Pay, $30 
100388,12/10/2010,Online, $200 ,N,Decline,D,n/a, $-   
100389,12/10/2010,Online, $500 ,J,Decline,D,n/a, $-   
100390,12/10/2010,Store, $500 ,B,Approve,S,Good = Pay, $50 
100391,12/10/2010,Store, $500 ,B,Approve,S,Good = Pay, $50 
